id,ru,en,info
3972,выступле́ние,performance,
3973,вы́сший,"the highest, superior
1) prime quality
2) first prize
3) higher education","(-ая, -ее, -ие)
1) вы́сший сорт
2) вы́сшая награ́да
3) вы́сшее образова́ние"
3974,высыпа́ться,to sleep out,"нсв I — вы́спаться (вы́сплюсь, вы́спишься) св II"
3975,высыха́ть,"to dry out, to get dry",нсв I — вы́сохнуть св I
3976,выта́скивать,to drag out,нсв I — вы́тащить св II
3977,вытира́ть,to wipe off,"нсв I — вы́тереть (вы́тру, вы́трешь) св I"
3978,вы́ход,exit,
3979,выходи́ть,"to come out
1) to come out of the house
2) to retire
3) The windows open to the yard.
4) The book was recently published.","(выхожу́, выхо́дишь) нсв II — вы́йти (вы́йду, вы́йдешь; прош.вр. вы́шел, вы́шла, вы́шли) св I 
1) выходи́ть из до́ма
2) вы́йти на пе́нсию
3) О́кна выхо́дят во двор.
4) Кни́га вы́шла неда́вно."
3980,выходно́й,weekend,"(-а́я, -о́е, -ы́е)"
3981,вышива́ть,to embroider,нсв I
3982,выясня́ть,"to clear up, to find out",нсв I — вы́яснить св II
3983,вью́щийся,"wavy, curly","вью́щаяся, вью́щееся, вью́щиеся"
3984,вя́заный,knitted,"(-ая, -ое, -ые)"
3985,вяза́ть,to knit,"(вяжу́, вя́жешь) нсв I — связа́ть (свяжу́, свя́жешь) св I"
3986,вя́нуть,to fade,нсв I — завя́нуть св I
3987,газ,gas,
3988,газе́та,newspaper,
3989,газопрово́д,gas pipeline,
3990,галере́я,gallery,
3991,га́лстук,tie,
3992,гара́ж,garage,
3993,гаранти́ровать,to guarantee,"(гаранти́рую, гаранти́руешь) нсв I и св I"
3994,гара́нтия,"guarantee, warranty",
3995,гардеро́б,cloakroom,
3996,гармони́чный,harmony; harmonically,"(-ая, -ое, -ые); гармони́чно"
3997,гарни́р,garnish,
3998,гаси́ть,to extinguish,"(гашу́, га́сишь) нсв II — погаси́ть (погашу́, пога́сишь) св II"
3999,га́снуть,"to go out, to fade, to become dim","(1 и 2 л. не употр., прош.вр. гас, га́сла, га́сли) нсв I — пога́снуть (прош.вр. пога́с, пога́сла, пога́сли) св I"
4000,гастро́ли,tour,только мн.ч.
4001,гастроно́м,grocery store,
3922,гвозди́ка,carnation (flower),
3923,гвоздь,"nail, tack",
3924,где,where,
3925,где́-либо,"somewhere, anywhere",
3926,где́-нибудь,"somewhere, anywhere",
3927,где́-то,somewhere,
3928,гель,"gel, jelly",
3929,ген,gene,
3930,генера́л,general,
3931,гене́тик,genetist,
3932,генети́ческий,genetic — genetic code,"(-ая, -ое, -ие) — генети́ческий код"
3933,гениа́льный,"of genius, brilliant; geniusly","(-ая, -ое, -ые); гениа́льно"
3934,ге́ний,genius,
3935,геноци́д,genocide,только ед.ч.
3936,гео́граф,geographer,
3937,географи́ческий,geographical,"(-ая, -ое, -ие)"
3938,геогра́фия,geography,
3939,гео́лог,geologist,
3940,геологи́ческий,geological,"(-ая, -ое, -ие)"
3941,геоло́гия,geology,только ед.ч.
3942,герб,"coat of arms, emblem",
3943,герои́ческий,heroic; heroically,"(-ая, -ое, -ие); герои́чески"
3944,геро́й,"hero, character
1) hero of war, of labour
2) character of literary work","1) геро́й войны́, труда́
2) геро́й литерату́рного произведе́ния"
3945,ги́бель,"death, ruin","ж.р., только ед.ч."
3946,ги́бкий,flexible; flexibly,"(-ая, -ое, -ие); ги́бко"
3947,ги́бнуть,to die,нсв I — поги́бнуть св I
3948,гига́нтский,"giant, huge","(-ая, -ое, -ие)"
3949,гид,guide,
3950,гидроэлектроста́нция,hydroelectric power station,(гэс)
3951,гимн,hymn,
3952,гимна́зия,gymnasium,
3953,гимна́ст,gymnast,ж.р. гимна́стка; р.п. мн.ч. гимна́сток
3954,гимна́стика,gymnastic,только ед.ч.
3955,гинеко́лог,gynaecologist,
3956,гита́ра,guitar,
3957,гитари́ст,guitarist,
3958,глава́,chapter — chapter of a book,1 — глава́ кни́ги
3959,глава́,"head — head of government, family","2 — глава́ прави́тельства, семьи́"
3960,гла́вный,main,"(-ая, -ое, -ые)"
3961,глаго́л,verb,
3882,гла́дить,"to iron, to stroke
1) to iron clothes
2) to stroke child’s head","(гла́жу, гла́дишь) нсв II — погла́дить (погла́жу, погла́дишь) св II
1) что? гла́дить оде́жду
2) кого? гла́дить ребёнка по голове́"
3883,гла́дкий,smooth; smoothly,"(-ая, -ое, -ие); гла́дко"
3884,глаз,eye,мн.ч. глаза́
3885,гли́на,clay,
3886,гло́хнуть,to grow deaf,нсв I — огло́хнуть св I
3887,глубина́,depth,
3888,глубо́кий,"deep; deeply; deeper
1) deep river
2) deep knowledges
3) deep (utmost) secrecy
4) deep sleep, deep (severe) crisis","(-ая, -ое, -ие); глубоко́; сравн.ст. глу́бже
1) глубо́кая река́
2) глубо́кие зна́ния
3) глубо́кая та́йна
4) глубо́кий сон, глубо́кий кри́зис"
3889,глу́пость,stupidity,ж.р.
3890,глу́пый,"foolish, stupid; foolishly","(-ая, -ое, -ые); глу́по"
3891,глухо́й,deaf,"(-а́я, -о́е, -и́е)"
3892,гляде́ть,"to look, to glance","(гляжу́, гляди́шь) нсв II — погляде́ть (погляжу́, погляди́шь) св II"
3893,гнать,to drive (hard),"(гоню́, го́нишь) только нсв II"
3894,гнат́ься,to chase,"(гонюс́ь, гон́ишься) только нсв II"
3895,гнездо́,nest,мн.ч. гнёзда
3896,гнило́й,rotten,"(-а́я, -о́е, -ы́е)"
3897,говори́ть,"to speak, to tell, to say","нсв II — сказа́ть (скажу́, ска́жешь) св I"
3898,говя́дина,beef,только ед.ч.
3899,год,year,
3900,годовщи́на,anniversary,
3901,гол,goal,
3902,голова́,head,
3903,го́лод,hunger,только ед.ч.
3904,голода́ть,to hunger,нсв I
3905,голо́дный,hungry,"(-ая, -ое, -ый)"
3906,гололёд,"frozen slush, ice-covered ground",только ед.ч.
3907,го́лос,"voice
1) nice voice
2) to fight for the popular votes","мн.ч. голоса́
1) прия́тный го́лос
2) боро́ться за голоса́ избира́телей"
3908,голосова́ть,to vote,"(голосу́ю, голосу́ешь) нсв I — проголосова́ть (проголосу́ю, проголосу́ешь) св I"
3909,голубо́й,blue,"(-а́я, -о́е, -ы́е)"
3910,го́лубь,pigeon,
3911,го́лый,naked,"(-ая, -ое, -ые)"
3912,го́льфы,half hose,мн.ч.; ед.ч. гольф
3913,го́нка,race,р.п. мн.ч. го́нок (спорт.)
3914,гора́,mountain,
3915,гора́здо,much,
3916,горбу́ша,humpback salmon,только ед.ч.
3917,горди́ться,to be proud,"(горжу́сь, горди́шься) нсв II"
3918,го́рдый,proud; proudly,"(-ая, -ое, -ые); го́рдо"
3919,го́ре,grief,только ед.ч.
3920,горе́ть,"to burn, to shine
1) The fire is burning.
2) The eyes are shining. The stars are shining.","нсв II — сгоре́ть св II
1) Ого́нь гори́т.
2) Глаза́ горя́т. Звёзды горя́т."
3921,горизонта́льный,horizontal; horizontally,"(-ая, -ое, -ые); горизонта́льно"
3802,го́рло,throat,
3803,го́рничная,chambermaid,(-ые) сущ.
3804,горнолы́жный,alpine skiing,"(-ая, -ое, -ые)"
3805,го́рный,"mountain, alpine","(-ая, -ое, -ые)"
3806,го́род,"city, town",сущ.
3807,городско́й,"city, municipal","прил. (-а́я, -о́е, -и́е)"
3808,горчи́ца,mustard,
3809,го́рький,"bitter; bitterly
1) bitter medicine
2) bitter truth","(-ая, -ое, -ие); го́рько
1) го́рькое лека́рство
2) го́рькая пра́вда"
3810,горя́чий,"hot, passionate; warmly, it’s hot
1) hot tea
2) passionate love, passionate desire","(-ая, -ее, -ие); горячо́
1) горя́чий чай
2) горя́чая любо́вь, горя́чее жела́ние"
3811,го́спиталь,hospital,
3812,господи́н,"Mr, gentleman, sir",мн.ч. господа́
3813,госпожа́,"Ms, Mrs, lady",
3814,гостеприи́мный,hospitable; hospitably,"(-ая, -ое, -ые); гостеприи́мно"
3815,гости́ная,living room,сущ.
3816,гости́ница,hotel,
3817,гость,guest,
3818,госуда́рственный,state,"прил., (-ая, -ое, -ые)"
3819,госуда́рство,state,сущ.
3820,гото́вить,"to prepare; 
1) to prepare breakfast; 
2) to prepare report; 
3) to prepare report, to prepare presentation","(гото́влю, гото́вишь) нсв II — пригото́вить (пригото́влю, пригото́вишь) св II, подгото́вить (подгото́влю, подгото́вишь) св II 
1) что? — пригото́вить за́втрак; 
2) что? — гото́вить рефера́т; 
3) кого? что? — подгото́вить студе́нтов, подгото́вить докла́д"
3821,гото́виться,"to prepare (oneself), to get ready","(гото́влюсь, гото́вишься) нсв II — подгото́виться (подгото́влюсь, подгото́вишься) св II, пригото́виться (пригото́влюсь, пригото́вишься) св II"
3822,гото́вый,ready,"(-ая, -ое, -ые); кр.ф. гото́в, -а, -о, -ы"
3823,гра́бить,to rob,"(гра́блю, гра́бишь) нсв II — огра́бить (огра́блю, огра́бишь) св II"
3824,гравю́ра,engraving,
3825,град,hail,только ед.ч.
3826,гра́дус,degree,
3827,гра́дусник,thermometer,
3828,граждани́н,citizen,м.р. (мн.ч. гра́ждане)
3829,гражда́нка,citizen,ж.р. (р.п. мн.ч. гражда́нок)
3830,гражда́нство,citizenship,только ед.ч.
3831,грамм,gramme,
3832,грамма́тика,grammar,
3833,гра́мотный,"literate; orthographically, competently","(-ая, -ое, -ые); гра́мотно"
3834,грани́т,granite,только ед.ч.
3835,грани́ца,boundary,
3836,грани́чить,to border,нсв II
3837,гра́фика,graphic art,только ед.ч.
3838,греть,"to warm, to heat",нсв I
3839,гре́ться,"to get a warm, to bask",нсв I — согре́ться св I
3840,грех,sin,
3841,гре́чка,buckwheat,только ед.ч.
3762,гриб,mushroom,
3763,грипп,grippe,только ед.ч.
3764,гроб,coffin,
3765,гроза́,storm,
3766,гром,thunder,
3767,грома́дный,huge,"(-ая, -ое, -ые)"
3768,гро́мкий,"loud; loudly; louder
1) loud music
2) big crime","(-ая, -ое, -ие); гро́мко сравн.ст. гро́мче
1) гро́мкая музыка
2) гро́мкое преступле́ние"
3769,груби́ть,"to be rude, to say rude things","(грублю́, груби́шь) нсв II — нагруби́ть (нагрублю́, нагруби́шь) св II"
3770,гру́бый,"rough, rude, coarse, bad; roughly, rudely
1) rude man
2) coarse material
3) rough scream
4) bad error","(-ая, -ое, -ые); гру́бо
1) гру́бый мужчина
2) гру́бый материа́л
3) гру́бый крик
4) гру́бое заблужде́ние"
3771,грудь,breast,ж.р.
3772,груз,"load, cargo",
3773,грузови́к,lorry,
3774,гру́зчик,loader,
3775,гру́ппа,group,
3776,грусти́ть,to grieve,"(грущу́, грусти́шь) нсв II"
3777,гру́стный,sad; sadly,"(-ая, -ое, -ые); гру́стно"
3778,грусть,sorrow,ж.р. только ед.ч.
3779,гру́ша,pear,
3780,гря́зный,dirty; dirtily,"(-ая, -ое, -ые); гря́зно"
3781,грязь,"mud, dirt","ж.р., только ед.ч."
3782,губа,lip,(мн.ч. гу́бы)
3783,губерна́тор,governor,
3784,гуля́ть,to walk,нсв I — погуля́ть св I
3785,гуля́ш,goulash,только ед.ч.
3787,гуманита́рный,humanitarian,"(-ая, -ое, -ые)"
3786,гума́нный,humane; humanly,"(-ая, -ое, -ые); гума́нно"
3788,густо́й,"thick, bushy; thickly; thicker
1) bushy taiga
2) thick soup","(-ая, -ое, -ые); гу́сто; сравн.ст. гу́ще
1) густа́я тайга
2) густо́й суп"
3789,гусь,goose,
3790,да,yes,
3791,дава́ть,"to give
1) to give a pen
2) to give consent 
3) to give a break","(даю́, даёшь) нсв I — дать (дам, дашь, даст, дади́м, дади́те, даду́т) св I 
1) дать кни́гу
2) дать согла́сие 
3) дава́ть переры́в"
3792,давле́ние,"pressure
1) blood pressure
2) to press, to enforce","только ед.ч.
1) кровяно́е давле́ние
2) ока́зывать давле́ние на кого?"
3793,давно́,long ago,
3794,да́же,even,
3795,да́лее,further,
3796,далёкий,"far, distant, long; far; longer","прил. (-ая, -ое, -ие); нар. далеко́; сравн. ст. да́льше"
3797,да́льний,distant,"(-яя, -ее, -ие)"
3798,дальнови́дный,clear-sighted,"(-ая, -ое, -ые)"
3799,да́ма,lady,
3800,да́нные,data,только мн.ч. сущ.
3801,да́нный,"given, actual",
3722,дари́ть,to give a present,нсв II — подари́ть св II
3723,да́ром,for free,разг.
3724,да́та,date,
3725,да́ча,"cottage, datcha",
3726,два,two,(две)
3727,два́дцать,twenty,
3728,два́жды,twice,
3729,двена́дцать,twelve,
3730,дверь,door,ж.р.
3731,две́сти,two hundred,
3732,дви́гаться,to move,нсв I
3733,движе́ние,movement,
3734,дво́е,"two, twain, two men",
3735,дво́йка,two (“poor”),(р.п. мн.ч. двоек разг.)
3736,двор,yard,
3737,дворе́ц,"palace
1) imperial’s palace
2) sports palace","р.п. ед.ч. дворца́; мн.ч. дворцы́
1) импера́торский дворе́ц 
2) дворе́ц спо́рта"
3738,дво́рник,"yard-keeper, street cleaner",
3739,дворянин,nobleman,"мн.ч. двор́яне; р.п. мн.ч. дворя́н; дворя́нка, р.п. мн.ч. дворя́нок"
3740,двою́родный,once removed,"(-ая, -ое, -ые)"
3741,двухле́тний,"two-year-old, two-year: two-year-old boy","(-яя, -ее, -ие): двухле́тний ма́льчик"
3742,двухме́стный,"two-seater, double, for two","(-ая, -ое, -ые)"
3743,двухты́сячный,two-thousandth,"(-ая, -ое, -ые)"
3744,двухэта́жный,two-storeyed,"(-ая, -ое, -ые)"
3745,де́вочка,girl,(р.п. мн.ч. де́вочек)
3746,де́вушка,"girl, young woman",(р.п. мн.ч. де́вушек)
3747,девяно́сто,ninety,
3748,девятна́дцать,nineteen,
3749,девя́тый,ninth,"(-ая, -ое, -ые)"
3750,де́вять,nine,
3751,девятьсо́т,nine hundred,
3752,дегради́ровать,to degrade,"(деградирую, деградируешь) нсв и св I"
3753,де́душка,grandfather,(р.п. мн.ч. дедушек)
3754,дежу́рный,on duty: doctor on duty,"(-ая, -ое, -ые): дежурный доктор"
3755,дезодора́нт,deodorant,
3756,де́йствие,action,
3757,действи́тельно,really,
3758,де́йствовать,"to act, to take effect, to work
1) The way doesn’t work.
2) The shampoo took effect.","(де́йствую, де́йствуешь) нсв I — поде́йствовать (поде́йствую, поде́йствуешь) св I
1) Спо́соб не де́йствует.
2) Шампу́нь поде́йствовал."
3759,дека́брь,,
3760,дека́н,,
3761,деклара́ция,"declaration
1) customs declaration
2) Human Rights Declaration","1) тамо́женная деклара́ция
2) Деклара́ция прав челове́ка"
3682,джи́нсы,jeans,только мн.ч.
3683,диабе́т,diabetes,только ед.ч.
3684,диа́гноз,diagnosis,
3685,диало́г,dialogue,
3686,дива́н,"sofa, couch",
3687,дие́та,diet,
3688,диети́ческий,dietary,"(-ая, -ое, -ие)"
3689,диза́йнер,designer,
3690,ди́кий,wild,"(-ая, -ое, -ие)"
3691,дикта́нт,dictation,
3692,дикта́тор,dictator,
3693,ди́ктор,announcer,
3694,динами́чный,dynamic; dynamically,"(-ая, -ое, -ые); динами́чно"
3695,дипло́м,diploma,
3696,диплома́т,diplomat,
3697,дипломати́ческий,diplomatic,"(-ая, -ое, -ие)"
3698,дипломати́чный,"diplomatic, tactful; tactfully","(-ая, -ое, -ые); дипломати́чно"
3699,дире́ктор,director,
3700,дирижёр,"conductor, bandmaster",
3701,диск — ла́зерный диск,disk — laser disk,
3702,диске́та,floppy disk,
3703,дискоте́ка,disco,
3704,дискуссио́нный,disputing,"(-ая, -ое, -ые)"
3705,диску́ссия,discussion,
3706,диссерта́ция,dissertation,
3707,длина́,length,
3708,дли́нный,long,"(-ая, -ое, -ые)"
3709,для,"for, to",(+ р.п.)
3710,дневно́й,daily,"(-ая, -ое, -ые)"
3711,днём,"in the afternoon, by day",
3712,дно,"bottom, ground (f.e. of the sea)",
3713,до,"till, until, as far as",(+ р.п.)
3562,До свида́ния!,Goodbye!,
3602,До свида́ния!,Goodbye!,
3714,добавля́ть,to add,"нсв I — доба́вить (доба́влю, доба́вишь) св II"
3715,добива́ться,"to obtain, to strive for","нсв I — доби́ться (добью́сь, добьёшься) св I"
3716,добира́ться,"to reach, to get to","нсв I — добра́ться (доберу́сь, доберёшься) св I"
3717,доброду́шный,"good-natured, amiable; good-naturedly","(-ая, -ое, -ые); доброду́шно"
3718,доброжела́тельный,"benevolent, well-wishing; benevolently","(-ая, -ое, -ые); доброжела́тельно"
3719,добросо́вестный,"honest, conscientious; conscientiously","(-ая, -ое, -ые); добросо́вестно"
3720,доброта́,kindness,только ед.ч.
3721,до́брый,"good, kind","(-ая, -ое, -ые)"
3642,дове́рие,trust,только ед.ч.
3643,доверя́ть,to trust,нсв I — дове́рить св II
3644,дово́лен,pleased,"дово́льна, -о, -ы кр.ф."
3645,дога́дываться,to guess,нсв I — догада́ться св I
3648,догова́риваться,to come to an agreement,нсв I — договори́ться св II
3646,догово́р,contract,мн.ч. догово́ры
3647,догоня́ть,to catch up,"нсв I — догна́ть (догоню́, дого́нишь) св II"
3649,доде́лывать,"to finish, to complete",нсв I — доделать св I
3650,доезжа́ть,to reach a place,"нсв I — дое́хать (дое́ду, дое́дешь) св II"
3651,дождли́вый,rainy,"(-ая, -ое, -ые)"
3653,дождь,rain,
3652,дожива́ть,"to live until, to live one’s last years","нсв I — дожи́ть (доживу́, доживёшь) св I"
3654,дозва́ниваться,"to get on the phone, to reach",нсв I — дозвони́ться св II
3655,доказа́тельство,proof,
3656,дока́зывать,to prove,"нсв I — доказа́ть (докажу́, дока́жешь) св I"
3657,докла́д,lecture,
3658,до́ктор,doctor,
3659,докуме́нт,document,
3660,документа́льный,documentary,"(-ая, -ое, -ые)"
3661,долг,debt — to borrow,1 — бра́ть в долг
3662,долг,сivil duty,2 только ед.ч. — гражда́нский долг
3663,до́лгий,"long, lingering; for a long time; longer","(-ая, -ое, -ие); долго сравн.ст. до́льше"
3664,до́лжен,"must, should","(должна́), -о, мн.ч. должны́ + инф."
3665,до́лжность,"position, post",ж.р.
3666,доли́на,valley,
3667,до́ллар,dollar,
3668,дом,house,(мн.ч. дома́)
3669,до́ма,at home,
3670,дома́шний,domestic,"(-яя, -ее, -ие)"
3671,домо́й,"home, homeward",
3672,домофо́н,doorphone,
3673,домохозя́йка,housewife,(р.п. мн.ч. домохозя́ек)
3674,домрабо́тница,housemaid,
3675,допи́сывать,to write up,"нсв I — дописа́ть (допишу́, допи́шешь) св I"
3676,дополни́тельный,additional; additionally,"(-ая, -ое, -ые); дополни́тельно"
3677,дополня́ть,to add,нсв I — допо́лнить св II
3678,доро́га,"way, road",
3679,дорого́й,expensive — an expensive bag; more expensive,"1 (-а́я, -о́е, -и́е); до́рого — дорога́я су́мка; сравн. ст. доро́же"
3680,дорого́й,dear — Dear friend!,"2 (-а́я, -и́е) — Дорого́й друг!"
3681,дорожа́ть,"to become dearer, to rise in price",нсв I — подорожа́ть св I
3563,доска́,desk,(р.п. мн.ч. досок)
3603,доска́,desk,(р.п. мн.ч. досок)
3564,досро́чный,preschedule; ahead of schedule,"(-ая, -ое, -ые); досро́чно"
3604,досро́чный,preschedule; ahead of schedule,"(-ая, -ое, -ые); досро́чно"
3566,достава́ть,"to reach, to obtain
1) to take the paper out of the table
2) to obtain a ticket on a concert","(достаю́, достаёшь) нсв I — доста́ть (доста́ну, доста́нешь) св I 
1) доста́ть бума́гу из стола́
2) доста́ть биле́т на конце́рт"
3606,достава́ть,"to reach, to obtain
1) to take the paper out of the table
2) to obtain a ticket on a concert","(достаю́, достаёшь) нсв I — доста́ть (доста́ну, доста́нешь) св I 
1) доста́ть бума́гу из стола́
2) доста́ть биле́т на конце́рт"
3565,доста́точно,enough,
3605,доста́точно,enough,
3567,достига́ть,"to achieve
1) to reach the top
2) to succeed, to get a goal","нсв I — дости́гнуть, дости́чь (дости́гну, дости́гнешь; прош.вр. дости́г, дости́гла, дости́гли) св I 
1) дости́чь верши́ны
2) достига́ть це́ли"
3607,достига́ть,"to achieve
1) to reach the top
2) to succeed, to get a goal","нсв I — дости́гнуть, дости́чь (дости́гну, дости́гнешь; прош.вр. дости́г, дости́гла, дости́гли) св I 
1) дости́чь верши́ны
2) достига́ть це́ли"
3568,достиже́ние,achievement,
3608,достиже́ние,achievement,
3569,досто́ин,is (are) worth,"досто́йна, -о, досто́йны кр. ф."
3609,досто́ин,is (are) worth,"досто́йна, -о, досто́йны кр. ф."
3570,досто́инство,"dignity, merit, worth",
3610,досто́инство,"dignity, merit, worth",
3571,достопримеча́тельность,"sight, point of interest",ж.р.
3611,достопримеча́тельность,"sight, point of interest",ж.р.
3572,досу́г,leisure,только ед.ч.
3612,досу́г,leisure,только ед.ч.
3573,дохо́д,income,
3613,дохо́д,income,
3574,доходи́ть,to come to,"(дохожу́, дохо́дишь) нсв II — дойти́ (дойду́, дойдёшь; прош.вр. дошёл, дошла́, дошли́) св I"
3614,доходи́ть,to come to,"(дохожу́, дохо́дишь) нсв II — дойти́ (дойду́, дойдёшь; прош.вр. дошёл, дошла́, дошли́) св I"
3575,до́чка,daughter,разг.; р.п. мн.ч. до́чек
3615,до́чка,daughter,разг.; р.п. мн.ч. до́чек
3576,дочь,daughter,"ж.р., р.п. ед.ч. до́чери; мн.ч. до́чери"
3616,дочь,daughter,"ж.р., р.п. ед.ч. до́чери; мн.ч. до́чери"
3577,драгоце́нный,precious,"(-ая, -ое, -ые)"
3617,драгоце́нный,precious,"(-ая, -ое, -ые)"
3578,дра́ка,fight,
3618,дра́ка,fight,
3579,дра́ма,drama,
3619,дра́ма,drama,
3580,драмати́ческий,dramatic,"(-ая, -ое, -ие)"
3620,драмати́ческий,dramatic,"(-ая, -ое, -ие)"
3581,дра́ться,"to fight, to scuffle","(деру́сь, дерёшься) нсв I — подра́ться (подеру́сь, подерёшься) св I"
3621,дра́ться,"to fight, to scuffle","(деру́сь, дерёшься) нсв I — подра́ться (подеру́сь, подерёшься) св I"
3582,дре́вний,ancient,"(-яя, -ее, -ие)"
3622,дре́вний,ancient,"(-яя, -ее, -ие)"
3583,дрожа́ть,to tremble,нсв II
3623,дрожа́ть,to tremble,нсв II
3584,друг,friend,(мн.ч. друзья́)
3624,друг,friend,(мн.ч. друзья́)
3585,друго́й,another,"(-а́я, -о́е, -и́е)"
3625,друго́й,another,"(-а́я, -о́е, -и́е)"
3586,дру́жба,friendship,только ед.ч.
3626,дру́жба,friendship,только ед.ч.
3587,дру́жеский,friendly,"(-ая, -ое, -ие)"
3627,дру́жеский,friendly,"(-ая, -ое, -ие)"
3588,дру́жественный,amicable,"(-ая, -ое, -ые)"
3628,дру́жественный,amicable,"(-ая, -ое, -ые)"
3589,дружи́ть,to be on friendly terms,нсв II
3629,дружи́ть,to be on friendly terms,нсв II
3590,дру́жный,"friendly; in friendship, together","(-ая, -ое, -ые); дру́жно"
3630,дру́жный,"friendly; in friendship, together","(-ая, -ое, -ые); дру́жно"
3591,дуб,oak,
3631,дуб,oak,
3592,дублёнка,sheepskin coat,(р.п. мн.ч. дублёнок)
3632,дублёнка,sheepskin coat,(р.п. мн.ч. дублёнок)
3593,ду́ма,duma (a representative assembly in Russia) — the State Duma (the lower house of the Russian parliament),Госуда́рственная ду́ма
3633,ду́ма,duma (a representative assembly in Russia) — the State Duma (the lower house of the Russian parliament),Госуда́рственная ду́ма
3594,ду́мать,to think,нсв I — поду́мать св I
3634,ду́мать,to think,нсв I — поду́мать св I
3595,дуть,to blow,нсв I — поду́ть св I
3635,дуть,to blow,нсв I — поду́ть св I
3596,духо́вный,"spiritual, mental, sacred, clerical","(-ая, -ое, -ые)"
3636,духо́вный,"spiritual, mental, sacred, clerical","(-ая, -ое, -ые)"
3597,душ,shower,только ед.ч.
3637,душ,shower,только ед.ч.
3598,душа́,soul,
3638,душа́,soul,
3599,ду́шно,it is stuffy,
3639,ду́шно,it is stuffy,
3600,ды́ня,melon,
3640,ды́ня,melon,
3601,дыша́ть,to breath,"(дышу́, ды́шишь) только нсв II"
3641,дыша́ть,to breath,"(дышу́, ды́шишь) только нсв II"
3522,ждать,"to wait
1) to wait for the friend
2) to wait for the bus, to wait for help","(жду, ждёшь) нсв I — подожда́ть (подожду́, подождёшь) св I
1) кого? — ждать подру́гу
2) чего? — ждать авто́буса, по́мощи"
3523,же,"and, but, as for",
3524,жела́ние,"wish, desire",
3525,жела́тельно,it is desirable,
3526,жела́ть,"to wish, to desire",нсв I — пожела́ть св I + инф.
3527,железнодоро́жный,railway,"(-ая, -ое, -ые)"
3528,желе́зный,"iron, made of iron","прил. (-ая, -ое, -ые)"
3529,желе́зо,iron,"сущ., только ед.ч."
3530,желте́ть,to grow yellow,нсв I — пожелте́ть св I
3543,жёлтый,yellow,"(-ая, -ое, -ые)"
3531,желу́док,stomach,р.п. ед.ч. желу́дка
3532,же́мчуг,pearl,
3533,жена́,wife,
3534,жена́т,married,мн.ч. жена́ты кр.ф.
3535,жени́ться,to marry,нсв и св II
3536,жени́х,"fiance, bridegroom",
3537,же́нский,"female, woman’s","(-ая, -ое, -ие)"
3538,же́нщина,woman,
3539,же́ртва,victim,
3540,же́ртвовать,"to sacrifice, to donate","(же́ртвую, же́ртвуешь) нсв I — поже́ртвовать поже́ртвую, поже́ртвуешь) св I"
3541,жест,gesture,
3544,жёсткий,"hard
1) rubbery meat
2) rough sofa","(-ая, -ое, -ие)
1) жёсткое мя́со
2) жёсткий дива́н"
3542,жесто́кий,"cruel, severe; cruelly
1) cruel man
2) severe fight","(-ая, -ое, -ие); жесто́ко
1) жесто́кий челове́к
2) жесто́кая борьба́"
3545,живо́й,"living, alive, nimble
1) alive fish
2) nimble mind","(-а́я, -о́е, -ы́е); кр.ф. жив, -а́, жи́во, -ы
1) жива́я ры́ба
2) живо́й ум"
3546,жи́вопись,painting,"ж.р., только ед.ч."
3547,живо́т,belly,
3548,живо́тное,animal,(-ые) сущ.
3549,жи́дкий,"liquid, watery","(-ая, -ое, -ие)"
3550,жи́дкость,"liquid, fluid",ж.р.
3551,жизнера́достный,cheerful,"(-ая, -ое, -ые)"
3552,жизнь,life,ж.р.
3553,жило́й,living,"(-а́я, -о́е, -ы́е)"
3554,жир,"fat, oil",
3555,жи́рный,"fat, oily, greasy
1) fat meat
2) oily stain","(-ая, -ое, -ые)
1) жи́рное мя́со
2) жи́рное пятно"
3556,жи́тель,inhabitant,жи́тельница
3557,жить,to live,"(живу, живёшь) нсв I"
3558,жук,"bug, beetle",
3559,журна́л,magazine,
3560,журнали́ст,journalist,ж.р. журнали́стка; р.п. мн.ч. журнали́сток
3561,журнали́стика,journalism,только ед.ч.
3442,жюри́,jury,ср.р. неизм.
3482,жюри́,jury,ср.р. неизм.
3443,за,"behind, over, at, in, for
for
1) Thank you for help.
in, within, during
2) to do in an hour
3) the house is behind the store
4) to go to buy bread    
5) to sit down at the table","1) + в.п. 
Спаси́бо за по́мощь.
2) + в.п. за ско́лько вре́мени? сде́лать за час
3) + т.п. где? дом за магази́ном
4) + т.п. за чем? пойти́ за хле́бом
5) куда? сесть за стол"
3483,за,"behind, over, at, in, for
for
1) Thank you for help.
in, within, during
2) to do in an hour
3) the house is behind the store
4) to go to buy bread    
5) to sit down at the table","1) + в.п. 
Спаси́бо за по́мощь.
2) + в.п. за ско́лько вре́мени? сде́лать за час
3) + т.п. где? дом за магази́ном
4) + т.п. за чем? пойти́ за хле́бом
5) куда? сесть за стол"
3444,забасто́вка,strike,р.п. мн.ч. забасто́вок
3484,забасто́вка,strike,р.п. мн.ч. забасто́вок
3445,забива́ть,"to drive in, to hammer in, to nail up — to batter in a nail, to shoot a goal","нсв I — заби́ть (забью́, забьёшь) св I — заби́ть гвоздь, гол"
3485,забива́ть,"to drive in, to hammer in, to nail up — to batter in a nail, to shoot a goal","нсв I — заби́ть (забью́, забьёшь) св I — заби́ть гвоздь, гол"
3446,забо́р,fence,
3486,забо́р,fence,
